MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
7261	132	7422	1377214	-	Daiva Memory of Durga (1987)(T & E Soft)(JP)
8464	8470	23919	2866269	-	World Golf II (1987)(ENIX)(JP)
8405	7441	11474	741294	-	2019_FM77AVDEMO_CaptainYS_V2.D77
9141	8802	3812	6017768	-	[OS] OS-9 Level 1 (Disk 1) {boot DOS mode}
5974	360	3812	200463	RUNAWAY-INTO-IO 	[Compilation] Game 4 {boot DOS mode}
5946	8802	3812	24822	-	[Compilation] Juegos 5 [b]
5974	360	3812	200463	RUNAWAY-INTO-IO 	GAME4.D77
7087	6940	28432	3120650	-	Take Out Vol. 5
9224	9636	6861	8393895	-	Team AB Music Disk Ebifuku Zenkyoku Shuu (2D) (Disk 2)
