MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
8324	313	3790	5443829	RUNAWAY-INTO-IO 	LUXSOR_1.D77
5207	1437	3812	316607	RUNAWAY-INTO-IO 	Team AB Music Disk No. 0
5207	1437	3812	316607	RUNAWAY-INTO-IO 	Team AB Music Disk Ebifuku Zenkyoku Shuu (2D) (Disk 1)
9989	2423	9213	620233	-	Amnork (1986)(ASCII)(JP)
7993	5083	29661	4547025	-	LUXSOR_2.D77
7305	2538	4057	3561963	-	FM77AV-DEMO.D77
8299	186	23627	1006068	-	Psy-O-Blade (1988)(T&E SOFT)(JP)
8005	8099	6938	1400983	-	Sunohe Collection
5556	8552	3812	969814	-	[OS] F-BASIC v3.4 L21 (FM77AV40SX)
