MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
5704	8778	4523	102925	-	Xanadu Scenario II (Disk E - Data) [Alt 1]
7344	8360	7296	546685	-	GOLF.D77
9460	10094	4411	8704804	-	Ishtar_b
5842	8802	3812	111610	-	Albatross (Disk 2)
9462	10091	4382	8690292	-	[Utility] Expert FM (Construction 1)
9450	10086	6004	8765834	-	[Compilation] Ura DOS 00 [b]
8677	6234	7359	2955897	-	[Utility] The File Master FM (Hot File Express) (1988-08-21)
8677	6234	7399	2955897	-	File Master FM, The - Hot File Express (1987-07-11)(Kyoto Media)(JP)
628	8802	3812	89435	-	CPM22.D77
9473	10113	4382	8825085	-	[Compilation] Game 012 [Alt 1] [b]
9638	8320	29322	739953	-	Hydlide II
10988	8789	4163	31533	-	SIL_B.D77
8250	8725	5037	6132263	-	Space Harrier (1987)(Dempa)(JP)
7641	6412	5261	5692223	-	Hokuto no Ken (1986)(ENIX)(JP)
9425	8152	11814	8554622	-	Cream Lemon - SF Choujigen Densetsu Rall (Disk 2)
8677	6234	7388	2955897	-	[Utility] The File Master FM (Hot File Express) (1989-01-21)
9452	10042	4553	8713028	-	The Quest (Disk 0)
767	8802	3812	149465	-	Girls Paradise (Disk C) [b]
5759	8802	3812	4542	-	Xanadu (Disk C - User)
9638	8320	29322	739953	-	HYDLIDE2.D77
11019	8803	4805	8777	-	REVIVER2.D77
5757	8802	3812	4542	-	Mugen no Shinzou II (Disk 2 - Scenario) [b]
9099	6549	14512	3914852	-	Mahoutsukai no Deshi II (Disk 1)
8407	7096	18916	3173051	-	Utsukushiki Emono-tachi
482	8802	3812	4544	-	Cranston Manor (Disk 2)
8750	8223	12654	2753657	-	The Knight of Wonderland
5340	8290	11826	933192	-	Wizardry III [Set 1]
9467	10118	5181	8847739	-	Abyss [b]
8569	6525	4245	2815355	-	Wizard And The Princess (1983)(Star Craft)(JP)
10668	8756	3812	4843	-	Templo del Sol - Asteka II (Disk B) [b]
11019	8802	3812	4543	-	Arion (Disk B)
8582	6971	21963	3256864	-	Wibarm
7758	6025	4231	5306973	-	Wing Man 2 (Disk 1)
