MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
5327	8290	11815	906620	-	Wizardry
10446	8802	3812	4636	-	Wizard and the Princess (Disk 1)
8770	8100	48297	841018	-	Arion (1986)(ASCII)(JP)
11019	8802	3812	4543	-	Boukenshatachi - Kenja no Yuigon (Disk 1)
9461	10094	4411	8701791	-	SAFETY.D77
9473	10099	5160	8844166	-	[Compilation] Game Bank (#07)
8417	8411	20558	3162314	-	1942 (1987)(ASCII)(JP)
9788	7917	5573	3287004	-	Cream Lemon - SF Choujigen Densetsu Rall (Disk 1)
9461	10094	4411	8701777	-	FBASIC30.D77
6177	7834	19511	1562531	-	Take Out Vol. 1
9638	8320	29322	739953	-	Hydlide II [Set 1]
9461	10094	4411	8711804	-	F-BASIC V3.0L10 System Disk (1982)(Fujitsu)(JP)
9473	10099	5160	8844213	-	[Compilation] Game Bank (#02)
11019	8802	3790	4549	-	Hydlide II (User disk)
9449	10086	6004	8766883	-	[Compilation] Ura DOS 22 [b]
9461	10094	4411	8711804	-	[Compilation] Game Bank (#20)
5755	8802	3812	4541	-	[Compilation] Ura DOS 01 [b]
9582	8282	22107	453774	-	Kenja no Yuigon (1987)(ASCII)(JP)
9450	10086	6004	8765872	-	[Compilation] Ura DOS 21 [b]
8564	6545	4288	2807984	-	Transylvania [Set 1]
7344	8360	7296	546685	-	Golf-kyou
8662	6320	4896	2900257	-	Christine
8564	6545	4288	2807984	-	Transylvania (1983)(Star Craft)(JP)
7496	7435	5882	3003704	-	Yami no Iyo Densetsu (1989)(HOT B)(JP)
7097	8762	11828	4268692	-	Take Out Vol. 3
9462	10092	4382	8691379	-	[Utility] The File Master FM (Hot File Express) (1989-01-19)
7104	8131	9172	1993750	-	Castle Excellent
