MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
11019	8802	3790	4549	-	Hydlide II [Set 1] (User disk)
8347	8497	28493	810652	-	Alpha
9461	10094	4411	8711804	-	Pacris {loadm CALLEB run MAIN}
7544	7025	17393	3616965	-	Princess Quest
8304	8216	3790	1630182	-	TRANSYL0.D77
8081	8373	5852	640451	-	[Compilation] Juegos 3 [b]
9473	10113	4382	8824987	-	[Compilation] Game 013 [Alt 1] [b]
5760	8802	3812	4542	-	The Quest (Disk 1-C)
9452	10057	4254	8719505	-	Dark Crystal, The (1984)(Star Craft)(JP)
8677	6234	7381	2955897	-	[Utility] The File Master FM (Hot File Express) (1987-02-10)
8677	6234	7399	2955897	-	[Utility] The File Master FM (Hot File Express) (1988-07-11)
9461	10094	4411	8711804	-	Fairie's Residence (Disk 2)
5335	8290	11838	925723	-	Wizardry II
7420	6836	17393	3916018	-	Princess Quest [working]
9461	10094	4411	8711790	-	SOD.D77
8598	6779	6672	3130254	-	GREED_2.D77
9473	10113	4382	8824987	-	[Compilation] Game 013
8705	8010	13367	3736757	-	YLEMON.D77
7167	5568	35268	1299438	-	Taiyou no Sinden (1986)(Falcom)(JP)
7660	8709	5454	797067	-	Shounen Mike no Hitoritabi (FM-7 parody)
8890	8269	23316	7257122	-	Lupin Sansei - Cagliostro no Shiro (Disk A)
11019	8802	3812	4543	-	Nugi.com {run NUGI}
9462	10091	4382	8689294	-	[Utility] The File Master FM (Hot File Express) (1987-03-16)
8466	8597	9505	447041	-	DISKFM1.D77
9461	10094	4411	8700634	-	[Compilation] 5-in-1 Pack
8455	6692	6354	800830	-	MINE2049.D77
9099	6549	14512	3914852	-	Mahou Tukai no Desi 2 (1986)(Tsukumo)(JP)
5766	8802	3812	4542	-	DARKCR1A.D77
8620	8058	6109	4410477	-	Final Lolita (1985)(PSK)(JP)
8717	9345	4136	5372339	-	AÚ¯¼¬.D77
10843	8672	9612	494063	-	Î¸ÄÉ¹Ý_2.D77
