MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
5335	8290	11838	925723	-	Wizardry #2 The Knight of Diamonds (1986)(ASCII)(JP)
6799	6621	60861	999695	-	Thexder [b]
9461	10093	4382	8696536	-	Pop Lemon (Disk 2)
9452	10057	4254	8719505	-	The Dark Crystal (Disk 0)
7420	6836	17393	3915963	-	Princess Quest (1986)(Packs Electronica)(JP)
8677	6234	7355	2955897	-	[Utility] The File Master FM (Hot File Express) (1989-09-01)
8620	8058	6109	4410477	-	Final Lolita [Set 1]
9123	7144	18104	6663407	-	Quest, The (1984)(Star Craft)(JP)
11019	8802	3812	4543	-	Wizplus for FM {run STARTUP}
11012	8802	3812	9349	-	PQUEST_U.D77
7425	3886	31980	515972	-	Riglas (1986)(Random House)(JP)
8381	8802	3812	3170475	-	Might And Magic (1987)(Star Craft)(JP)
9465	10132	5181	8826150	-	Xanadu (Disk C - User) [Alt 1] [b]
6091	8149	21252	1406671	-	Take Out Vol. 2
8768	6746	8493	2506817	-	Dai Senryaku FM (1987)(System Sacom)(JP)
8677	6234	7421	2955897	-	[Utility] The File Master FM (Hot File Express) (1988-04-30)
11019	8802	3812	7038064	-	Xanadu Scenario II (Disk D - Program)
11019	8802	4006	4547	-	Ys (FM7) (User disk) [Alt 1]
8270	8430	12747	813249	-	Expert-FM v3.1 (1985)(Softpal)(JP)
9582	8282	22107	453774	-	KENJA0.D77
7748	8367	5756	2721971	-	Jelda (1983)(Carry Lab)(Zero Soft)(Hiroto Sasaki).D77
5759	8802	3812	4542	-	[Utility] Exassave (rom dump utility)
9473	10113	4382	8825069	-	[Compilation] Game 03G [Alt 1] [b]
9461	10094	4411	8711804	-	Super Lonely Terminal
674	8791	3790	55865	-	Ulysses (Disk 0) {run FM}
5340	8290	11826	933192	-	Wizardry III
9461	10094	4411	8711804	-	TEST02.D77
11019	8802	3812	4543	-	Lupin for XM7
8598	6779	6672	3130254	-	Greed (Disk 2)
7641	6412	5261	5692223	-	Î¸ÄÉ¹Ý_1.D77
10030	7757	35924	1015996	-	Ys - Ancient Ys Vanished Omen (1987)(Falcom)(JP)
8004	8221	4124	718262	-	Amnork [Set 1]
8466	8597	9505	447041	-	DiskFM vol. 1
