MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
9575	9266	3790	95305	-	Jesus (1987)(ENIX)(JP)
5269	61	5330	466070	-	Urusei Yatura (1987)(Micro Cabin)(JP)
7340	658	13530	1706348	-	Megami Tensei (1987)(Telenet)(JP)
8624	6394	4129	2624556	-	[Compilation] Game 1
8295	4701	18910	7496428	-	Relics (Disk A)
8432	8390	6657	1202232	-	[Utility] The File Master FM
8392	888	14693	5676227	-	Dragon Buster (1987)(DEMPA)(JP)
7032	7895	4551	1853044	-	Laydock (1986)(T&E)(JP)
8432	8390	6657	1202232	-	File Master FM, The v1.01 (1986)(Kyoto Media)(JP)
