MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
7136	5561	35293	1304442	-	Templo del Sol - Asteka II (Disk A) [b]
5752	8802	3812	4542	-	Ultima II (Disk 2 - Master Player)
8382	8793	4789	12605	-	Wizardry #4 The Return of Werdna (1989)(ASCII)(JP)(Disk 3 of 3)
8455	6692	6354	800830	-	Miner 2049er
7104	8131	9172	1993750	-	CASTLEEX.D77
8535	8365	9792	1833818	-	PALMS.D77
11019	8802	3812	4543	-	Lode Runner (Oh! FM-7 custom levels) [Alt 1]
8890	8269	23316	7257122	-	Lupin The Third The Castle of Cagliostro (1985)(Toho)(JP)
5809	8802	3812	4542	-	Take Out Vol. 7 (Disk B)
5753	8802	3812	4542	-	ULYSSES1.D77
8606	6318	8851	2893265	-	WEIRD2.D77
8036	8491	5227	495281	-	Soukoban 2
474	8802	3812	4544	-	DARKCR1B.D77
9461	10094	4411	8711804	-	COMSOL.D77
10500	6853	13436	2015382	-	Mahoutsukai no Deshi
5472	8238	12632	1039910	-	Wizardry #1 Proving Grounds of The Mad Overload (1985)(ASCII)(JP)
9460	10094	4411	8703887	-	ASSEM.D77
8569	6525	4245	2815355	-	Wizard and the Princess (Disk 0)
8496	8641	4018	172693	-	GAME3.D77
5752	8802	3812	4542	-	Albatross (Disk 3)
8677	6234	7377	2955897	-	[Utility] The File Master FM (Hot File Express) (1987-12-20)
9461	10094	4411	8711804	-	[OS] F-BASIC v3.0 L10
8620	8058	6109	4409609	-	Final Lolita
8472	7417	9049	2982467	-	Greed (1986)(Ponyca)(JP)
9919	8245	3790	380579	-	DAIVA_A.D77
8561	6537	4245	2798432	-	Cranston Manor (1983)(Star Craft)(JP)
8407	7096	18916	3173051	-	02.D77
11018	8801	4092	8570	-	Mahoutsukai no Deshi II (Disk 2)
9473	10113	4382	8825085	-	[Compilation] Game 04G [b]
8754	6605	11003	4242975	-	Mission Impossible
9788	7917	5573	3287004	-	03.D77
8250	5396	16208	5277459	-	Thunder Force (1984)(Tecno Soft)(JP)
