MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
510	8802	3812	4542	-	TRANSYL1.D77
9638	8320	29322	739953	-	Hydlide II (1986)(T & E Soft)(JP)
8040	7010	13423	1558909	-	Reviver (1987)(Arsys)(JP)
7733	7799	38651	1440120	-	Xanadu Scenario II (Disk D - Program) [Alt 1]
11012	8802	3812	9349	-	Princess Quest (User disk) [b]
11019	8802	3812	4543	-	Toriaezu Tinyan da yo! {run toriaezu}
9473	10113	4382	8825091	-	[Compilation] Game Bank (#01)
8300	8667	4708	209503	-	Lagrange L-2
628	8802	3812	89435	-	WORDMAST.D77
8132	6062	6886	1331651	-	Crisis Mountain
10030	7757	35924	1015996	-	Ys (1985)(PSG)
8368	8178	11483	2741849	-	Lovely Gal (Disk 1)
5753	8802	3812	4542	-	Skapon Tankentai (FM7) (Disk 1 - Sesshoku-hen) [b] {run STARTUP}
8750	8223	12654	2753657	-	Knight of Wonder Land, The (1983)(Humming Bird)(JP)
7943	7456	10595	3072706	-	Flicky [b]
8754	6605	11003	4242975	-	Mission Impossible (1984)(Star Craft)(JP)
8132	6062	6886	1331651	-	CRISISMT.D77
9582	8282	22107	453774	-	Boukenshatachi - Kenja no Yuigon (Disk 0)
9508	10173	4789	8977854	-	Daiva (FM-7 parody) {run STARTUP}
7730	7806	38518	1435542	-	Xanadu (Disk A - Program) [Alt 1] [b]
5704	8778	4523	102925	-	Xanadu Scenario II (Disk C - User)
11019	8802	3812	4543	-	Skapon Tankentai (FM7) (User disk)
8472	7417	9049	2982467	-	GREED_1.D77
8705	8010	13367	3736757	-	Yellow Lemon
9003	7310	6501	4565491	-	Space Bee (1983)(Carry Lab)(Zero Soft)(Hiroshi Hasegawa).D77
9473	10099	5160	8843135	-	[Compilation] Game Bank (#03)
6747	8802	3812	13344	-	Take Out Vol. 4 (Disk B)
8582	6971	21963	3256864	-	Wibarm (1986)(Arsys)(JP)
5704	8778	4523	102925	-	Xanadu (Disk B - Data)
9461	10094	4411	8711790	-	Stone of Deity 1&2 {run SD1, run SD2}
8656	6311	7850	2749187	-	Castle, The (1985)(ASCII)(JP)
