basic-keys	620	5472	9592	1438351
basic-print	620	5472	9607	1437373
basic-shift	620	5470	9521	1433819
boot-basic	620	5475	9681	1441883
boot-dos1	620	6571	8709	65535
boot-dos2	620	6161	8709	204899
boot-dos3	620	6711	8709	0
disk-Thexder [b]	620	4752	6261	595171
