VERDICT     OURS         COV% REF          COV%  MAIN/f   SUB/f  TITLE
MATCH       lowcolour    33.9 lowcolour    47.9    6429    8893  The_Return_of_Ishtar__FM77AV___SPS___Disk_A__
MATCH       lowcolour    32.5 lowcolour    32.4    4898    7244  Ys__FM77AV___Disk_A__
MATCH       lowcolour    26.0 lowcolour    24.4    4351     130  Mugen_Senshi_Valis__FM77AV___Disk_1__
MATCH       lowcolour    11.6 lowcolour    11.8    4625    8798  Reviver__FM77AV___Disk_A_-_Master__
MATCH       lowcolour     8.5 lowcolour    10.2    3721    8063  Wizardry_IV__FM77AV___Disk_A__
MATCH       lowcolour     1.6 lowcolour     1.6    5056    8679  The_Tower_of_Druaga__FM77AV__
MATCH       lowcolour     1.6 lowcolour     1.6    5056    8679  The_Tower_of_Druaga__FM77AV___Dempa__
REF-WORSE   GRAPHICS     59.7 text          6.3    3578    3086  Digital_Devil_Story_-_Megami_Tensei__FM77AV___Disk_A__
REF-WORSE   GRAPHICS     94.2 text          4.6    5725    7021  Ys_II__FM77AV___Program_disk__
REF-WORSE   GRAPHICS     81.4 blank         0.0    5162    8010  Kohakuiro_no_Yuigon__FM77AV___Disk_1__
NO-SHOT     blank         0.0 missing       0.0     423    8064  Urusei_Yatsura_-_Koi_no_Survival_Birthday__FM77AV___Disk_1__

  14  CORE-BLANK
   3  CORE-WORSE
   9  TEXT-ONLY
  27  BOTH-BLANK
  11  MATCH
   3  REF-WORSE
   1  NO-SHOT
