MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
6702	8767	3790	6667	-	[Compilation] FM-7 Programs 03
6690	8767	3790	19480	-	[Compilation] Game 02G [b]
6690	8767	3790	19486	-	[Compilation] Game 03G [b]
6690	8767	3790	19251	-	[Compilation] Game 04G [b]
5690	10022	4383	4089959	-	[Compilation] Game 014
5690	10022	4383	4089959	-	[Compilation] Game 011
5690	10022	4383	4089883	-	[Compilation] Game 013
5690	10022	4383	4089959	-	[Compilation] Game 012
5043	6418	7847	588565	-	[Compilation] Game 1
5678	9992	4383	4005619	-	[Compilation] 5-in-1 Pack
4987	6691	10923	541420	-	[Compilation] Game 2
4849	8453	4345	169070	-	[Compilation] FM-Soft
5125	978	3790	158621	-	[Compilation] Game 4 {boot DOS mode}
5690	10022	4383	4089959	-	[Compilation] Game Bank (#01)
5691	10017	5135	4110130	-	[Compilation] Game Bank (#02)
5045	8295	10999	113060	-	[Compilation] Game 3 [b]
5689	10022	4383	4082914	-	[Compilation] Game Bank (#05)
5691	10017	5135	4110091	-	[Compilation] Game Bank (#06)
5691	10017	5135	4110082	-	[Compilation] Game Bank (#07)
5691	10016	5135	4109473	-	[Compilation] Game Bank (#03)
5678	9992	4383	4012810	-	[Compilation] Game Bank (#20)
5690	10022	4383	4089959	-	[Compilation] Game Bank (#04)
5680	10051	5197	4070234	-	[Compilation] Juegos 3 [b]
3683	8767	3790	5340	-	[Compilation] Juegos 5 [b]
5679	10047	5218	4065242	-	[Compilation] Ura DOS 00 [b]
3543	8767	3814	4128	-	[Compilation] Ura DOS 01 [b]
5679	10047	5218	4065276	-	[Compilation] Ura DOS 21 [b]
3491	8767	3790	9525507	RUNAWAY-INTO-IO 	[OS] F-BASIC v3.4 L21 (FM77AV40SX)
5678	9992	4383	4012810	-	[OS] F-BASIC v3.0 L10
4449	8767	3790	3056742	-	[OS] F-BASIC v3.3 L10 (FM77AV)
5659	10041	5218	4163840	-	[OS] OS-9 Level 1 (Disk 1) {boot DOS mode}
5679	10047	5218	4065131	-	[Compilation] Ura DOS 22 [b]
3371	8767	3790	6666	-	[Utility] Exassave (rom dump utility)
4449	8767	3790	3056817	-	[OS] F-BASIC v3.3 L11 (FM77AV)
5678	9991	4383	3999474	-	[Utility] Expert FM (Construction 1)
5659	10040	5218	4164091	-	[OS] OS-9 Level 1 (Disk 2) {boot DOS mode}
5039	8739	7726	48902	-	[Utility] Expert FM (Construction 2)
3414	652	4057	9678587	-	[Utility] FM Graphic Editor II (FM77AV40)
4945	8173	12672	450723	-	[Utility] Expert FM
5292	8767	3790	2786391	-	[Utility] FM Sound Editor (FM77AV)
5677	9990	4383	3998898	-	[Utility] The File Master FM (Hot File Express) (1987-03-16)
5115	5781	7170	859641	-	[Utility] The File Master FM (Hot File Express) (1987-02-10)
5115	5781	7235	859641	-	[Utility] The File Master FM (Hot File Express) (1988-04-30)
5115	5781	7189	859641	-	[Utility] The File Master FM (Hot File Express) (1988-07-11)
5115	5781	7195	859641	-	[Utility] The File Master FM (Hot File Express) (1987-12-20)
5678	9992	4383	4000142	-	[Utility] The File Master FM (Hot File Express) (1989-01-19)
5115	5781	7173	859641	-	[Utility] The File Master FM (Hot File Express) (1988-08-21)
4907	7941	6634	398583	-	[Utility] Super Kanji Juushoroku
5115	5781	7214	859641	-	[Utility] The File Master FM (Hot File Express) (1989-01-21)
5115	5781	7170	859641	-	[Utility] The File Master FM (Hot File Express) (1989-09-01)
4591	4308	9614	920455	-	Albatross (Disk 1)
3369	8767	3790	6666	-	Albatross (Disk 2)
5034	7980	6677	721116	-	[Utility] The File Master FM
6690	8767	3790	19469	-	[Compilation] Game 012 [Alt 1] [b]
3443	8767	3790	74191	-	Albatross (Disk 3)
4983	8634	5880	1781725	-	1942
6690	8767	3790	19545	-	[Compilation] Game 011 [Alt 1] [b]
5687	10054	5197	4105567	-	Abyss [b]
4643	8306	4137	847092	-	A-Train (A Ressha de Ikou)
4907	7829	26208	624986	-	Alpha
5690	10022	4383	4089867	-	[Compilation] Game 013 [Alt 1] [b]
3409	621	4057	9707461	-	FM77AV demo [Alt 1] [b]
6013	284	3790	99079	-	Luxsor (FM77AV) (Disk 2) [Alt 1]
5690	10021	4383	4089825	-	[Compilation] Game 03G [Alt 1] [b]
6699	8769	4010	14407	-	Kugyokuden (FM77AV) (Disk 1 - Joukan) [Alt 1]
3438	8767	3790	32221	-	Might and Magic (FM77AV) (Disk A) [Alt 1]
6702	8767	3790	6667	-	Lode Runner (Oh! FM-7 custom levels) [Alt 1]
5688	10067	5197	4108770	-	Laydock (FM77AV) (Disk B - Data) [Alt 1]
5688	10067	5197	4108770	-	Laydock (FM77AV) (Disk B - Data) [Alt 3]
