MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
1198	126	3790	251657	-	Death Force (FM77AV) (Disk A)
5002	213	3790	273384	-	Daiva Story 2 - Memory in Durga (FM77AV) (Disk A)
5957	1755	3790	237630	-	Deep Forest (FM77AV) (Disk A)
5877	8721	3790	119617	-	Argo (FM77AV) (Disk A)
4663	8721	3790	1375179	-	[OS] F-BASIC v3.3 L10 (FM77AV)
4055	8721	3790	2774045	-	Digital Devil Story - Megami Tensei (FM77AV) (Disk A)
4581	8702	3790	291238	RUNAWAY-INTO-IO 	[Utility] FM Sound Editor (FM77AV)
4663	8721	3790	1375179	-	[OS] F-BASIC v3.3 L11 (FM77AV)
5038	3025	4056	1730819	-	Dragon Buster (FM77AV)
5137	320	3790	1759751	-	FM77AV demo
5137	320	3790	1759751	-	FM77AV-DEMO.D77
4883	7515	6078	425824	-	Gambler Jikochuushinha (FM77AV)
4921	8231	3790	488227	-	In the Dream (FM77AV) (Disk A)
5091	7330	16857	1034351	-	Kohakuiro no Yuigon (FM77AV) (Disk 1)
4922	8232	3790	488457	-	How Many Robot (FM77AV) (Disk 0)
4922	8232	3790	488457	-	How Many Robot (FM77AV) (Disk 1)
4666	8721	3790	267275	-	Kohakuiro no Yuigon (FM77AV) (Disk 2)
4666	8721	3790	267275	-	Kohakuiro no Yuigon (FM77AV) (Disk 3)
4666	8721	3790	267275	-	Kohakuiro no Yuigon (FM77AV) (Disk 4)
5880	232	3814	1358187	-	Laydock (FM77AV) (T&E) (Disk A - Program)
5880	232	3814	1358187	-	Laydock (FM77AV) (Disk A - Program)
4531	8545	3790	3041728	-	Kugyokuden (FM77AV) (Disk 1 - Joukan)
4531	8545	3790	3041721	-	Kugyokuden (FM77AV) (Disk 2 - Gekan)
5640	9825	5182	1831191	-	Little Box (FM77AV) (Disk A)
5389	2317	3790	125252	-	Luxsor (FM77AV) (Disk 1)
5981	647	3790	113279	-	Luxsor (FM77AV) (Disk 2)
5734	541	3790	74608	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 1)
138	8721	3790	24223	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 2)
4922	8230	3790	488533	-	Metal -X- (FM77AV) {run METAL-X-}
5015	8721	3790	212569	-	Might and Magic (FM77AV) (Disk A)
4546	8721	3790	122850	-	Might and Magic (FM77AV) (Disk C)
4546	8721	3790	122850	-	Might and Magic (FM77AV) (Disk D)
5457	373	3790	2404529	-	Mugen Senshi Valis (FM77AV) (Disk 1)
5808	675	3790	296370	-	Mugen Senshi Valis (FM77AV) (Disk 2)
5065	8265	3790	380651	-	Nobunaga no Yabou - Zenkoku-ban (FM77AV) (Disk A)
5993	471	4401	90334	-	Psy-O-Blade (FM77AV) (Disk 1 - Program)
5443	8692	3790	941632	-	Pro Yakyuu Fan (FM77AV) (Disk A)
6649	8637	4095	47071	-	Psy-O-Blade (FM77AV) (Disk 2 - A)
6649	8637	4085	47071	-	Psy-O-Blade (FM77AV) (Disk 3 - B)
6649	8637	4086	47071	-	Psy-O-Blade (FM77AV) (Disk 4 - C)
5104	126	3790	1103658	-	Reviver (FM77AV) (Disk A - Master)
6649	8637	4083	47071	-	Psy-O-Blade (FM77AV) (Disk 5 - D)
5978	529	3790	29973	-	Silpheed (FM77AV) (Disk A)
4922	8232	3790	488457	-	Seles (FM77AV) (Disk A)
6435	8534	3814	1289997	-	Shounen Mike no Hitoritabi (FM77AV)
4922	8232	3790	488457	-	Space Harrier (FM77AV) (Disk 0)
3637	8139	4251	65892	-	Space Harrier (FM77AV) (Disk 1)
4922	8232	3790	488457	-	Space Harrier (FM77AV)(Dempa) (Disk 0)
3637	8139	4251	65892	-	Space Harrier (FM77AV)(Dempa) (Disk 1)
4932	5938	4255	797418	-	Tetris (FM77AV)
4922	8232	3790	488457	-	The Return of Ishtar (FM77AV) (Disk A)
4922	8232	3790	488457	-	The Return of Ishtar (FM77AV) (SPS) (Disk A)
556	126	3790	40231	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 1)
4922	8231	3790	488434	-	The Tower of Druaga (FM77AV) (Dempa)
4922	8231	3790	488434	-	The Tower of Druaga (FM77AV)
5629	9827	5182	1829621	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 2)
5629	9827	5182	1829621	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 3)
4244	7881	17884	548268	-	Wizardry IV (FM77AV) (Disk A)
7179	125	3816	1251682	-	Woody Poco (FM77AV) (Disk 1)
5036	8463	4746	28123	-	Wizardry IV (FM77AV) (Disk C)
5985	775	3814	128168	-	World Golf II (FM77AV) (Disk 1)
6673	8721	3790	21908	-	Woody Poco (FM77AV) (Disk 2)
128	8721	3790	21908	-	World Golf II (FM77AV) (Disk 2)
4521	7422	3790	520222	-	Yami no Iyo Densetsu (FM77AV) (Disk 1)
5629	9832	5182	1829955	-	Yami no Iyo Densetsu (FM77AV) (Disk 2)
4638	4796	3790	1238059	-	Ys (FM77AV) (Disk A)
6673	8721	3790	21908	-	Ys II (FM77AV) (Disk A)
5641	8721	3790	2338244	-	Ys II (FM77AV) (Program disk)
